Model,Type,Dimension,ndcg@10,mrr@10,map@100,accuracy@1,accuracy@3,accuracy@5,accuracy@10,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10
MPNet,base,768,0.2695,0.2413,0.2761,0.2224,0.2242,0.2794,0.3283,0.2224,0.2215,0.1875,0.1201,0.0596,0.176,0.2439,0.312
MPNet,base,512,0.2612,0.2331,0.2668,0.2153,0.2162,0.2722,0.3167,0.2153,0.2135,0.1795,0.1166,0.0582,0.1708,0.2343,0.3029
MPNet,base,256,0.2506,0.2232,0.2574,0.2055,0.2073,0.2598,0.3087,0.2055,0.2046,0.1714,0.1124,0.0555,0.1636,0.2237,0.2919
MPNet,base,128,0.2233,0.2018,0.2325,0.1877,0.1895,0.2331,0.2687,0.1877,0.1865,0.1544,0.098,0.051,0.1497,0.2023,0.2552
MPNet,base,64,0.1894,0.1685,0.1981,0.1548,0.1575,0.2002,0.2313,0.1548,0.1545,0.1301,0.0838,0.0421,0.1244,0.1716,0.2208
MPNet,finetuned,768,0.6139,0.5712,0.6094,0.5436,0.5454,0.645,0.6913,0.5436,0.5418,0.4434,0.2593,0.1452,0.4317,0.5792,0.6762
MPNet,finetuned,512,0.611,0.5728,0.6092,0.5472,0.5489,0.6335,0.6877,0.5472,0.546,0.4432,0.256,0.146,0.4347,0.5791,0.6686
MPNet,finetuned,256,0.6,0.56,0.5969,0.5338,0.5365,0.6246,0.6753,0.5338,0.5323,0.4333,0.2525,0.143,0.4249,0.566,0.6591
MPNet,finetuned,128,0.5783,0.5418,0.5774,0.5178,0.5187,0.5952,0.653,0.5178,0.516,0.4176,0.2427,0.1384,0.4113,0.5454,0.6337
MPNet,finetuned,64,0.5282,0.4883,0.5272,0.4626,0.4635,0.5498,0.6041,0.4626,0.4612,0.3769,0.2252,0.124,0.3684,0.493,0.587
distiluse,base,512,0.0037,0.0036,0.0056,0.0036,0.0036,0.0036,0.0044,0.0036,0.0036,0.0027,0.0014,0.001,0.0029,0.0036,0.004
distiluse,base,256,0.0046,0.004,0.0068,0.0036,0.0036,0.0044,0.0062,0.0036,0.0036,0.0028,0.0022,0.001,0.0029,0.0037,0.0056
distiluse,base,128,0.0045,0.0039,0.0055,0.0036,0.0036,0.0044,0.0053,0.0036,0.0036,0.0028,0.0021,0.001,0.0029,0.0037,0.0053
distiluse,base,64,0.0029,0.0016,0.0039,0.0009,0.0009,0.0027,0.0044,0.0009,0.0009,0.0014,0.002,0.0002,0.0005,0.0014,0.0044
distiluse,finetuned,512,0.4213,0.3955,0.4248,0.379,0.3808,0.4359,0.4698,0.379,0.3778,0.3059,0.177,0.1011,0.3009,0.3981,0.4592
distiluse,finetuned,256,0.4135,0.3868,0.4157,0.3692,0.3719,0.4306,0.4644,0.3692,0.3683,0.3004,0.1743,0.0985,0.2934,0.3909,0.4525
distiluse,finetuned,128,0.4004,0.3774,0.4048,0.3621,0.363,0.4199,0.4422,0.3621,0.3606,0.2947,0.167,0.0962,0.2863,0.383,0.4339
distiluse,finetuned,64,0.3662,0.3389,0.3675,0.3203,0.3238,0.3835,0.4155,0.3203,0.3209,0.2657,0.1562,0.0849,0.2543,0.3451,0.4061
shihab17,base,768,0.1599,0.1411,0.1651,0.129,0.1299,0.1673,0.1993,0.129,0.1278,0.1075,0.0715,0.0353,0.1031,0.142,0.1889
shihab17,base,512,0.1608,0.1408,0.1654,0.1281,0.1299,0.1681,0.2002,0.1281,0.1272,0.1078,0.0726,0.0352,0.1029,0.1425,0.1906
shihab17,base,256,0.1517,0.1334,0.1571,0.1219,0.1219,0.1646,0.1877,0.1219,0.1207,0.1027,0.0682,0.0331,0.0968,0.1349,0.1794
shihab17,base,128,0.1389,0.1192,0.1417,0.1068,0.1068,0.1548,0.1744,0.1068,0.1059,0.0931,0.0641,0.0289,0.0844,0.1221,0.1679
shihab17,base,64,0.1083,0.0921,0.1108,0.0819,0.0819,0.1192,0.1388,0.0819,0.081,0.071,0.0502,0.0227,0.0657,0.0941,0.1321
shihab17,finetuned,768,0.5638,0.5179,0.5586,0.4884,0.4884,0.5881,0.6557,0.4884,0.4858,0.3986,0.2424,0.1312,0.3887,0.5213,0.6323
shihab17,finetuned,512,0.5594,0.5147,0.5556,0.4858,0.4858,0.5845,0.6486,0.4858,0.4831,0.3968,0.2401,0.1304,0.3864,0.5186,0.6261
shihab17,finetuned,256,0.551,0.5058,0.5465,0.476,0.4778,0.5756,0.6441,0.476,0.4739,0.3907,0.2376,0.1276,0.3783,0.51,0.6188
shihab17,finetuned,128,0.5268,0.481,0.5227,0.4511,0.4528,0.5569,0.6157,0.4511,0.4493,0.3744,0.2282,0.1205,0.3576,0.4876,0.5951
shihab17,finetuned,64,0.4783,0.428,0.4722,0.3959,0.3968,0.5098,0.5747,0.3959,0.3938,0.3326,0.2122,0.106,0.3138,0.4337,0.5536
